Country,City,Metro Pop,Geo Reason,GR Note
Afghanistan,Kabul,6.0M,Location,Hindu Kush crossroads linked regional trade and mountain routes
Albania,Tirane,990K,Location,Valley crossroads connected inland Albania with coastal routes
Algeria,Algiers,3.7M,Harbor,Mediterranean Sea. Sheltered natural bay backed by the Sahel hills; long a strategic North African port and corsair base
Andorra,Andorra la Vella,25K,Location,Pyrenees pass location supported France-Spain movement and trade
Angola,Luanda,11.9M,Harbor,Atlantic Ocean. Excellent natural harbor in Luanda Bay; Portuguese founded 1576 as slave trade and colonial base for Angola
Antigua and Barbuda,Saint John's,25K,Harbor,Caribbean Sea. Sheltered harbor on Antigua's northwest coast; British colonial capital and naval/trade base in the Leeward Islands
Argentina,Buenos Aires,15.9M,Harbor,Río de la Plata. Major estuary providing sheltered harbor access serving the Pampas and interior trade routes
Armenia,Yerevan,1.3M,River,"Hrazdan River. Flowing from Lake Sevan through the city, the river provided water, power, and a natural corridor in the Armenian highlands"
Australia,Sydney,5.0M,Harbor,Tasman Sea. One of the world's finest natural harbors at Port Jackson; site of the First Fleet 1788 British settlement in Australia
Austria,Vienna,2.1M,River,"Danube River. Major European waterway crossroads; the river supported trade, transport, and the growth of the Habsburg imperial capital"
Azerbaijan,Baku,3.1M,Harbor,Caspian Sea. Anchorage on the Absheron Peninsula; historic trade port and later center of the early modern oil industry
Bahamas,Nassau,280K,Harbor,Atlantic Ocean. Protected harbor on New Providence Island; pirate haven turned major British colonial port and tourism gateway
Bahrain,Manama,1.4M,Harbor,"Persian Gulf. Natural harbor on Bahrain Island; centuries-old pearling, dhow trade, and entrepôt center"
Bangladesh,Dhaka,25.3M,River,Buriganga River. Buriganga River in the Ganges-Brahmaputra delta; historic river port and core of Bengal trade and administration
Barbados,Bridgetown,90K,Harbor,Caribbean Sea. Carlisle Bay harbor on southwest Barbados; British colonial capital and key sugar trade port in the Caribbean
Belarus,Minsk,2.1M,River,Svislach River. The Svislach provided a water source and route in the marshy Belarusian landscape for early settlement
Belgium,Brussels,2.3M,River,"Senne/Zenne River. Senne River valley offered a navigable and defensible site in the Low Countries, later canalized for the capital"
Belize,Belize City,60K,Harbor,"Caribbean Sea. Mouth of the Belize River; British settlement for logwood/mahogany trade, later colonial capital"
Benin,Cotonou,2.0M,Harbor,Gulf of Guinea. Port on the Gulf of Guinea lagoon and canal system; Benin's main commercial harbor and economic hub (Porto-Novo is political capital)
Bhutan,Thimphu,115K,Location,Central Himalayan valley location supported administration and access
Bolivia,Santa Cruz de la Sierra,2.3M,Resource,Fertile eastern lowland plains supported agriculture and growth
Bosnia and Herzegovina,Sarajevo,550K,River,Miljacka River. The Miljacka River valley in the Dinaric Alps provided a sheltered basin for trade and Ottoman administrative center
